Day 1- Position 1 11-26-51 v3-JT,01:00:18:23,.start,3
Day 1- Position 1 11-26-51 v3-JT,01:00:39:21,.end,3
Day 1- Position 2 11-27-14 v2-JT,01:00:43:01,.start,3
Day 1- Position 2 11-27-14 v2-JT,01:01:03:08,.end,3
Day 1- Position 3 11-27-51 v2-JT,01:01:21:10,.start,3
Day 1- Position 3 11-27-51 v2-JT,01:01:37:21,1.c5+,3
Day 1- Position 3 11-27-51 v2-JT,01:01:53:14,.end,3
Day 1- Position 4 11-28-19 v2-JT,01:02:01:10,.start,3
Day 1- Position 4 11-28-19 v2-JT,01:02:06:09,1.c5+,3
Day 1- Position 4 11-28-19 v2-JT,01:02:36:09,1.Kxc5,3
Day 1- Position 4 11-28-19 v2-JT,01:02:27:20,1.Qxc5,3
Day 1- Position 4 11-28-19 v2-JT,01:02:30:13,2.Na4+,3
Day 1- Position 4 11-28-19 v2-JT,01:02:34:02,.reset,3
Day 1- Position 4 11-28-19 v2-JT,01:02:38:12,2.Ne4+,3
Day 1- Position 4 11-28-19 v2-JT,01:02:42:11,.end,3
Day 1- Position 5 11-33-02 v4-JT,01:05:27:21,.start,3
Day 1- Position 5 11-33-02 v4-JT,01:05:44:12,1.Rb8,3
Day 1- Position 5 11-33-02 v4-JT,01:05:49:19,2.Rb5,3
Day 1- Position 5 11-33-02 v4-JT,01:06:15:19,2.Ba2,3
Day 1- Position 5 11-33-02 v4-JT,01:05:54:10,2.Kg8,3
Day 1- Position 5 11-33-02 v4-JT,01:05:57:19,3.Rxb1,3
Day 1- Position 5 11-33-02 v4-JT,01:06:00:08,.reset,3
Day 1- Position 5 11-33-02 v4-JT,01:06:21:12,3.Rb8+,3
Day 1- Position 5 11-33-02 v4-JT,01:06:32:23,3.Bg8,3
Day 1- Position 5 11-33-02 v4-JT,01:06:38:05,.end,3
Day 1- Position 6 11-35-09 v3-JT,01:07:17:22,.start,3
Day 1- Position 6 11-35-09 v3-JT,01:07:41:10,4.g6,3
Day 1- Position 6 11-35-09 v3-JT,01:07:37:09,4.h6,3
Day 1- Position 6 11-35-09 v3-JT,01:07:40:00,.reset,3
Day 1- Position 6 11-35-09 v3-JT,01:07:43:00,.end,3
Day 1- Position 7 11-37-23 v2-JT,01:09:08:01,.start,3
Day 1- Position 7 11-37-23 v2-JT,01:10:09:10,5.Rh2+,3
Day 1- Position 7 11-37-23 v2-JT,01:09:40:02,5.Rhh8,3
Day 1- Position 7 11-37-23 v2-JT,01:09:41:10,.reset,3
Day 1- Position 7 11-37-23 v2-JT,01:09:42:17,5.Rah8,3
